index;label;identifiant;addresse?;commune;code_postal;latitude;longitude
0;mairie de puy sanières;05111pc00001;1169 route des puys;puy-sanieres;05200;44.556359;6.436790
1;pibou bas;05111pc00002;2 rue du morgon;puy-sanieres;05200;44.546959;6.421536
2;nouveau village;05108pc00003;68 rue de la baume;puy-saint-eusebe;05200;44.561828;6.411584
3;le villard;05108pc00004;23 route de réallon;puy-saint-eusebe;05200;44.567129;6.401163
4;le chef lieu;05114pc00005;31 charrière des voûtes;reallon;05160;44.595123;6.364527
5;les gourniers;05114pc00006;14 charrière de viarette;reallon;05160;44.615133;6.332942
6;les rousses école;05114pc00007;21 charrière du gallant;reallon;05160;44.578025;6.377433
7;les méans;05114pc00008;105 charrière de la combe;reallon;05160;44.585197;6.382586
8;pav gare;05164pc00009;1 route de réallon;savines-le-lac;05160;44.535573;6.391094
9;la treille;05164pc00010;3 route des puys;savines-le-lac;05160;44.539313;6.399622
10;picoune;05164pc00011;6 impasse coste béraude;savines-le-lac;05160;44.536785;6.385521
11;pré d'emeraude;05164pc00012;1 rue des chardonnerets;savines-le-lac;05160;44.516502;6.374076
12;relais fleuri;05164pc00013;12 rue du forest;savines-le-lac;05160;44.525306;6.400949
13;place lacaou;05164pc00014;12 rue du forest;savines-le-lac;05160;44.524473;6.402656
14;pompiers / hlm;05164pc00015;3 rue serre verger;savines-le-lac;05160;44.525393;6.406207
15;sortie savines le lac coté embrun / station service;05164pc00016;3 rue du champ raoux;savines-le-lac;05160;44.526257;6.408558
16;eden lac;05164pc00017;1 rue de l’oratoire;savines-le-lac;05160;44.526793;6.408632
17;cimetière;05164pc00018;9 rue des eaux douces;savines-le-lac;05160;44.527335;6.403661
18;hameau chérines;05164pc00019;7 route de savines;savines-le-lac;05160;44.559946;6.379651
19;r de l'oratoire r de l'ounie;05164pc00020;5 rue de l’ounié;savines-le-lac;05160;44.527368;6.407720
20;plage;05164pc00021;1 rue de la combette;savines-le-lac;05160;44.528127;6.406020
21;office de tourisme (ot);05164pc00022;8 rue des marronniers;savines-le-lac;05160;44.526259;6.403469
22;camping les eygoires (municipal savines le lac);05164pc00024;4 route du sauze;savines-le-lac;05160;44.519519;6.387515
23;rue de la combette/ hlm;05164pc00025;2 rue saint-férréol;savines-le-lac;05160;44.526994;6.405391
24;centre village;05163pc00026;764 route du village;le sauze-du-lac;05160;44.526994;6.405391
25;cimetière;05163pc00027;72 chemin du cimetière;le sauze-du-lac;05160;44.479102;6.315134
26;port st pierre;05163pc00028;650 chemin de port saint-pierre;le sauze-du-lac;05160;44.476396;6.316210
27;plage port st pierre;05163pc00029;1226 chemin de port saint-pierre;le sauze-du-lac;05160;44.467598;6.323621
28;les chevaliers;04154pc00030;pré de capitaine;pontis;05160;44.508781;6.363622
29;pav centre village;05130pc00031;135 route de chorges;saint apollinaire;05160;44.555691;6.360185
30;les crozans;05130pc00032;1638 route de savines;saint apollinaire;05160;44.549308;6.362860
31;ponts des vignes (rn 94);05106pc00033;1 impasse du pré;prunieres;05230;44.531968;6.325218
32;place de la mairie;05106pc00034;30 route de prunières;prunieres;05230;44.542344;6.332655
33;pra perier;05106pc00035;25 route de pra périer;prunieres;05230;44.540427;6.338296
34;le serre;05106pc00036;162 route de chabrière;prunieres;05230;44.549470;6.328987
35;centre village / bascule / eglise;05106pc00037;2 route de chabrière;prunieres;05230;44.543702;6.326666
36;pra prunier;05114pc00038;77 charrière des chalets d’estive;reallon;05160;44.577244;6.365925
37;parking central;05114pc00039;584 charrière grande de pra goudin;reallon;05160;44.575953;6.361514
38;bas de la station;05114pc00040;4 charrière grande de pra goudin;reallon;05160;44.574402;6.365035
39;devant commerces;05114pc00041;388 charrière grande de pra goudin;reallon;05160;44.577214;6.363201
40;centre  de vacances chadenas;05111pc00042;319 chemin de chadenas;puy-sanieres;05200;44.547358;6.461433
41;ime centre jean cluzel;05164pc00043;17 route de réallon;savines-le-lac;05160;44.538977;6.378694
42;cv vtf les pigneroux;05164pc00044;1 route des pigneroux;savines-le-lac;05160;44.551868;6.376052
43;camping le roustou;05106pc00045;32 chemin du roustou;prunieres;05230;44.523053;6.340976
44;camping le nautic;05106pc00046;255 route du lac;prunieres;05230;44.527258;6.358344
45;cv ccas / maison centrale;05164pc00047;1 route du sauze;savines-le-lac;05160;44.517926;6.384902
46;montagne aux marmottes;05163pc00048;444 route départementale 954;le sauze-du-lac;05160;44.472430;6.327381
47;demoiselles coiffées / souvenirs;05163pc00049;507 route des demoiselles coiffées;le sauze-du-lac;05160;44.494644;6.340876
48;camping la palatrière;05163pc00050;201 route d’orbanne;le sauze-du-lac;05160;44.498575;6.344786
49;camping de st apollinaire;05130pc00051;2353 route du lac;saint apollinaire;05160;44.561583;6.346529
50;camping les granges;04154pc00052;;pontis;05160;44.514040;6.364286
51;camping les chappas;04154pc00053;;pontis;05160;44.514355;6.362179
52;jeunesse et avenir;04154pc00054;;pontis;05160;44.509928;6.355159
